Test_ID,Phase,Epic,Module,Category,Method,Endpoint_Component,Test_Description,Preconditions,Input_Action,Expected_Output,Status
TC_P2_012,2,MI-1,Auth API,Positive,POST,/api/auth/login,Verify LOGIN event is created in event_log,Admin exists + event_log table exists,{"email":"admin@mini-ims.local","password":"Admin@123"},A row with event_type='LOGIN' is inserted in event_log with correct admin_id and IP address.,
TC_P2_013,2,MI-1,Auth API,Security,POST,/api/auth/login,Verify FAILED_LOGIN event is created in event_log on bad password,Admin exists,{"email":"admin@mini-ims.local","password":"wrongpass"},A row with event_type='FAILED_LOGIN' is inserted in event_log with IP address.,
TC_P2_014,2,MI-1,Auth API,Security,POST,/api/auth/login,Verify refresh token is stored as hash (not plain text),Admin exists,{"email":"admin@mini-ims.local","password":"Admin@123"},Querying refresh_tokens table shows token_hash (SHA-256) not the actual token value.,
TC_P2_015,2,MI-1,Auth API,Positive,POST,/api/auth/refresh,Refresh access token with valid cookie,User is logged in (valid refreshToken cookie exists),Send request with refreshToken cookie,200 - Returns new accessToken. Old access token is no longer usable.,
TC_P2_016,2,MI-1,Auth API,Negative,POST,/api/auth/refresh,Refresh with no cookie,User is NOT logged in,Send request with no cookies,401 - Returns unauthorized error.,
TC_P2_017,2,MI-1,Auth API,Negative,POST,/api/auth/refresh,Refresh with expired refresh token,Refresh token exists but expires_at is in the past,Send expired refreshToken cookie,401 - Returns unauthorized error.,
TC_P2_018,2,MI-1,Auth API,Negative,POST,/api/auth/refresh,Refresh with revoked refresh token,Refresh token exists but revoked=1 in DB,Send revoked refreshToken cookie,401 - Returns unauthorized error.,
TC_P2_019,2,MI-1,Auth API,Negative,POST,/api/auth/refresh,Refresh with tampered token value,User has valid session,Send a modified/invalid cookie value,401 - Returns unauthorized error (hash mismatch).,
TC_P2_020,2,MI-1,Auth API,Positive,POST,/api/auth/logout,Logout with valid session,User is logged in,Send request with valid Bearer token and refreshToken cookie,200 - {success:true message:'Logged out'}. refreshToken cookie is cleared. Token is marked revoked=1 in DB.,
TC_P2_021,2,MI-1,Auth API,Positive,POST,/api/auth/logout,Verify LOGOUT event created in event_log,User is logged in,POST /api/auth/logout,A row with event_type='LOGOUT' is inserted in event_log.,
TC_P2_022,2,MI-1,Auth API,Negative,POST,/api/auth/logout,Logout without auth token,No session,Send request with no Authorization header,401 - Unauthorized.,
TC_P2_023,2,MI-1,Auth API,Negative,POST,/api/auth/logout,Refresh after logout should fail,User just logged out,Attempt POST /api/auth/refresh with old cookie,401 - Token is revoked so refresh fails.,
TC_P2_024,2,MI-1,Auth API,Positive,GET,/api/auth/me,Get current user profile,User is logged in,Send GET with valid Bearer token,200 - Returns {id first_name last_name email role last_login}. Password NOT included in response.,
TC_P2_025,2,MI-1,Auth API,Negative,GET,/api/auth/me,Get profile without auth,No session,Send GET with no Authorization header,401 - Unauthorized.,
TC_P2_026,2,MI-1,Auth API,Negative,GET,/api/auth/me,Get profile with expired access token,Token is expired,Send GET with expired JWT in header,401 - Token expired. Client should call refresh endpoint.,
TC_P2_027,2,MI-1,Auth Middleware,Negative,GET,/api/items (any protected route),Request without Authorization header,None,Send GET /api/items with no header,401 - {success:false error:'No token provided'}.,
TC_P2_028,2,MI-1,Auth Middleware,Negative,GET,/api/items,Request with malformed Bearer token,None,Send Authorization: Bearer invalid.token.here,401 - {success:false error:'Invalid token'}.,
TC_P2_029,2,MI-1,Auth Middleware,Negative,GET,/api/items,Request with expired access token,Token is expired,Send expired JWT,401 - Token expired.,
TC_P2_030,2,MI-1,Auth Middleware,Positive,GET,/api/items,Request with valid token attaches user to req.user,User is logged in,Send valid Bearer token,req.user is populated with {sub email role}. Request proceeds to handler.,
TC_P2_031,2,MI-1,Role Middleware,Negative,POST,/api/items (Super-only),Staff role attempts Super-only endpoint,Staff user is logged in,Staff sends POST /api/items,403 - {success:false error:'Insufficient permissions'}.,
TC_P2_032,2,MI-1,Role Middleware,Positive,POST,/api/items,Super role accesses Super-only endpoint,Super admin is logged in,Super sends POST /api/items with valid body,Passes through role guard. Handler executes normally.,
TC_P3_001,3,MI-2,Items API,Positive,GET,/api/items,Get paginated items list as Super,Super is logged in + items seeded,GET /api/items?page=1&limit=10,200 - Returns {data:[...] pagination:{total page limit totalPages} cumulativeTotal}.,
TC_P3_002,3,MI-2,Items API,Positive,GET,/api/items,Get paginated items list as Staff,Staff is logged in + items seeded,GET /api/items?page=1&limit=10,200 - Items returned (any auth role can view list).,
TC_P3_003,3,MI-2,Items API,Positive,GET,/api/items,Pagination - page 2,15 items in DB,GET /api/items?page=2&limit=10,200 - Returns 5 items. pagination.page=2 pagination.total=15.,
TC_P3_004,3,MI-2,Items API,Positive,GET,/api/items,Sort by unitPrice descending,Items seeded with varied prices,GET /api/items?orderBy=unitPrice&orderFormat=DESC,200 - Items returned in descending price order.,
TC_P3_005,3,MI-2,Items API,Positive,GET,/api/items,Filter active items only (qty > 0),Some items have qty=0,GET /api/items?active=true,200 - Only items with quantity > 0 returned.,
TC_P3_006,3,MI-2,Items API,Positive,GET,/api/items,cumulativeTotal is sum of all items not just current page,20 items seeded,GET /api/items?page=1&limit=5,cumulativeTotal in response equals SUM(unitPrice*quantity) across ALL 20 items.,
TC_P3_007,3,MI-2,Items API,Negative,GET,/api/items,Unauthenticated request,No session,GET /api/items with no token,401 - Unauthorized.,
TC_P3_008,3,MI-2,Items API,Positive,GET,/api/items/search,Search items by partial name,Items seeded,GET /api/items/search?q=wid,200 - Returns items where name LIKE '%wid%'.,
TC_P3_009,3,MI-2,Items API,Positive,GET,/api/items/search,Search items by partial code,Items seeded,GET /api/items/search?q=WGT,200 - Returns items where code LIKE '%WGT%'.,
TC_P3_010,3,MI-2,Items API,Negative,GET,/api/items/search,Search with query shorter than 2 characters,None,GET /api/items/search?q=a,400 - Validation error: minimum 2 characters required.,
TC_P3_011,3,MI-2,Items API,Negative,GET,/api/items/search,Search with no q parameter,None,GET /api/items/search (no q),400 - Validation error: q is required.,
TC_P3_012,3,MI-2,Items API,Positive,GET,/api/items/search,Search that returns no results,Items seeded,GET /api/items/search?q=xyzxyz,200 - Returns {data:[]} empty array.,
TC_P3_013,3,MI-2,Items API,Security,GET,/api/items/search,SQL injection attempt in search query,Items seeded,GET /api/items/search?q='; DROP TABLE items;--,200 - Returns safe empty/normal result. No DB error. Query is parameterized.,
TC_P3_014,3,MI-2,Items API,Negative,GET,/api/items/search,Unauthenticated search request,No session,GET /api/items/search?q=test with no token,401 - Unauthorized.,
TC_P3_015,3,MI-2,Items API,Positive,POST,/api/items,Add valid item as Super,Super is logged in,{"name":"Widget A","code":"WGT001","quantity":50,"unitPrice":9.99,"description":"Test item"},201 - {success:true data:{id:<new_id>} message:'Item added'}. Item exists in DB.,
TC_P3_016,3,MI-2,Items API,Positive,POST,/api/items,Add item without optional description,Super is logged in,{"name":"Gadget B","code":"GDG001","quantity":10,"unitPrice":4.99},201 - Item created with description=null.,
TC_P3_017,3,MI-2,Items API,Negative,POST,/api/items,Add item with duplicate code,Item with code WGT001 already exists,{"name":"Another Widget","code":"WGT001","quantity":5,"unitPrice":1.99},409 - {success:false error:'Item code already exists'}.,
TC_P3_018,3,MI-2,Items API,Negative,POST,/api/items,Add item with missing name,Super is logged in,{"code":"TEST001","quantity":10,"unitPrice":5.00},400 - Validation error: name is required.,
TC_P3_019,3,MI-2,Items API,Negative,POST,/api/items,Add item with missing code,Super is logged in,{"name":"Test Item","quantity":10,"unitPrice":5.00},400 - Validation error: code is required.,
TC_P3_020,3,MI-2,Items API,Negative,POST,/api/items,Add item with negative quantity,Super is logged in,{"name":"Test","code":"TST001","quantity":-5,"unitPrice":5.00},400 - Validation error: quantity must be >= 0.,
TC_P3_021,3,MI-2,Items API,Negative,POST,/api/items,Add item with zero unit price,Super is logged in,{"name":"Test","code":"TST001","quantity":10,"unitPrice":0},400 - Validation error: unitPrice must be > 0.,
TC_P3_022,3,MI-2,Items API,Negative,POST,/api/items,Staff role attempts to add item,Staff is logged in,POST /api/items with valid body,403 - Insufficient permissions.,
TC_P3_023,3,MI-2,Items API,Positive,PUT,/api/items/:id,Update item name and price,Item with id=1 exists,{"name":"Updated Widget","unitPrice":12.99},200 - Item updated. Verify name and unitPrice changed in DB.,
TC_P3_024,3,MI-2,Items API,Positive,PUT,/api/items/:id,Partial update - only update description,Item with id=1 exists,{"description":"New description"},200 - Only description updated. Other fields unchanged.,
TC_P3_025,3,MI-2,Items API,Negative,PUT,/api/items/:id,Update code to an existing duplicate,Items id=1 (WGT001) and id=2 (WGT002) exist,PUT /api/items/1 with {"code":"WGT002"},409 - Code already in use by another item.,
TC_P3_026,3,MI-2,Items API,Positive,PUT,/api/items/:id,Update code to itself (same code),Item id=1 with code WGT001 exists,PUT /api/items/1 with {"code":"WGT001"},200 - No conflict. Item updated.,
TC_P3_027,3,MI-2,Items API,Negative,PUT,/api/items/:id,Update non-existent item,None,PUT /api/items/99999 with valid body,404 - Item not found.,
TC_P3_028,3,MI-2,Items API,Negative,PUT,/api/items/:id,Staff role attempts to update item,Staff is logged in,PUT /api/items/1 with valid body,403 - Insufficient permissions.,
TC_P3_029,3,MI-2,Items API,Positive,DELETE,/api/items/:id,Delete item with no transaction history,Item with no transactions exists,DELETE /api/items/<id>,200 - {success:true message:'Item deleted'}. Item no longer in DB.,
TC_P3_030,3,MI-2,Items API,Negative,DELETE,/api/items/:id,Delete item that has transaction history,Item code appears in transactions table,DELETE /api/items/<id>,409 - {success:false error:'Cannot delete item with transaction history'}.,
TC_P3_031,3,MI-2,Items API,Negative,DELETE,/api/items/:id,Delete non-existent item,None,DELETE /api/items/99999,404 - Item not found.,
TC_P3_032,3,MI-2,Items API,Negative,DELETE,/api/items/:id,Staff role attempts to delete item,Staff is logged in,DELETE /api/items/1,403 - Insufficient permissions.,
TC_P3_033,3,MI-2,Items API,Positive,N/A,stockUtils.decrementStock,Decrement stock of item,Item with quantity=10 exists,Call decrementStock(conn 'WGT001' 5),Item quantity is updated to 5 in DB. No error thrown.,
TC_P3_034,3,MI-2,Items API,Negative,N/A,stockUtils.decrementStock,Decrement more than available stock,Item with quantity=3 exists,Call decrementStock(conn 'WGT001' 5),Error is thrown (insufficient stock). Quantity unchanged in DB.,
TC_P3_035,3,MI-2,Items API,Positive,N/A,stockUtils.incrementStock,Increment stock of item,Item with quantity=5 exists,Call incrementStock(conn 'WGT001' 10),Item quantity is updated to 15 in DB.,
TC_P3_036,3,MI-6,Admins API,Positive,GET,/api/admins,Get admin list as Super,Super is logged in + admins seeded,GET /api/admins?page=1&limit=10,200 - Returns paginated admin list. Soft-deleted admins NOT included.,
TC_P3_037,3,MI-6,Admins API,Negative,GET,/api/admins,Staff role cannot list admins,Staff is logged in,GET /api/admins,403 - Insufficient permissions.,
TC_P3_038,3,MI-6,Admins API,Negative,GET,/api/admins,Unauthenticated cannot list admins,No session,GET /api/admins,401 - Unauthorized.,
TC_P3_039,3,MI-6,Admins API,Positive,GET,/api/admins,Soft-deleted admins excluded from list,One admin has deleted=1,GET /api/admins,200 - Response does not include admin with deleted=1.,
TC_P3_040,3,MI-6,Admins API,Positive,POST,/api/admins,Create new Staff admin,Super is logged in,{"first_name":"Jane","last_name":"Doe","email":"jane@mini-ims.local","password":"JaneDoe@1","role":"Staff","mobile1":"08012345678"},201 - {success:true data:{id:<new_id>}}. Admin exists in DB with account_status=1 deleted=0.,
TC_P3_041,3,MI-6,Admins API,Positive,POST,/api/admins,Verify password is hashed in DB after create,Super is logged in,Create admin with password "JaneDoe@1",Admin record in DB has password field that is a bcrypt hash (starts with $2b$). Plain text NOT stored.,
TC_P3_042,3,MI-6,Admins API,Negative,POST,/api/admins,Create admin with duplicate email,Admin with that email already exists,POST /api/admins with same email,409 - Email already in use.,
TC_P3_043,3,MI-6,Admins API,Negative,POST,/api/admins,Create admin with missing email,Super is logged in,POST /api/admins without email field,400 - Validation error: email required.,
TC_P3_044,3,MI-6,Admins API,Negative,POST,/api/admins,Create admin with missing password,Super is logged in,POST /api/admins without password field,400 - Validation error: password required.,
TC_P3_045,3,MI-6,Admins API,Negative,POST,/api/admins,Create admin with weak password (no uppercase),Super is logged in,{"password":"alllowercase1"},400 - Validation error: password must contain at least one uppercase letter.,
TC_P3_046,3,MI-6,Admins API,Negative,POST,/api/admins,Create admin with password too short,Super is logged in,{"password":"Ab1"},400 - Validation error: password minimum 8 characters.,
TC_P3_047,3,MI-6,Admins API,Negative,POST,/api/admins,Create admin with invalid role value,Super is logged in,{"role":"Manager"},400 - Validation error: role must be Super or Staff.,
TC_P3_048,3,MI-6,Admins API,Negative,POST,/api/admins,Staff role cannot create admin,Staff is logged in,POST /api/admins with valid body,403 - Insufficient permissions.,
TC_P3_049,3,MI-6,Admins API,Positive,PUT,/api/admins/:id,Update admin first name,Super is logged in,PUT /api/admins/2 with {"first_name":"Updated"},200 - first_name is updated in DB.,
TC_P3_050,3,MI-6,Admins API,Positive,PUT,/api/admins/:id,Update admin with empty password - password unchanged,Super is logged in + admin with known password,PUT /api/admins/2 with {"password":""},200 - Password in DB is unchanged (empty string = no update).,
TC_P3_051,3,MI-6,Admins API,Positive,PUT,/api/admins/:id,Update admin with new valid password,Super is logged in,PUT /api/admins/2 with {"password":"NewPass@99"},200 - New password is hashed and saved. Old password no longer works for login.,
TC_P3_052,3,MI-6,Admins API,Negative,PUT,/api/admins/:id,Update admin with invalid new password,Super is logged in,PUT /api/admins/2 with {"password":"weak"},400 - Validation error: password complexity rules.,
TC_P3_053,3,MI-6,Admins API,Negative,PUT,/api/admins/:id,Staff cannot update admin,Staff is logged in,PUT /api/admins/2 with {"first_name":"Test"},403 - Insufficient permissions.,
TC_P3_054,3,MI-6,Admins API,Positive,DELETE,/api/admins/:id,Soft-delete another admin,Super is logged in + target admin exists,DELETE /api/admins/2,200 - {success:true}. Admin record still exists in DB with deleted=1. Not returned in GET /api/admins list.,
TC_P3_055,3,MI-6,Admins API,Negative,DELETE,/api/admins/:id,Super cannot soft-delete their own account,Super is logged in,DELETE /api/admins/<own_id>,403 - {error:'Cannot delete your own account'}.,
TC_P3_056,3,MI-6,Admins API,Negative,DELETE,/api/admins/:id,Delete non-existent admin,None,DELETE /api/admins/99999,404 - Admin not found.,
TC_P3_057,3,MI-6,Admins API,Negative,DELETE,/api/admins/:id,Staff cannot delete admin,Staff is logged in,DELETE /api/admins/2,403 - Insufficient permissions.,
TC_P3_058,3,MI-6,Admins API,Positive,PATCH,/api/admins/:id/status,Suspend active admin account,Admin with account_status=1 exists,PATCH /api/admins/2/status with {"account_status":0},200 - {success:true message:'Account suspended'}. account_status=0 in DB.,
TC_P3_059,3,MI-6,Admins API,Positive,PATCH,/api/admins/:id/status,Activate suspended admin account,Admin with account_status=0 exists,PATCH /api/admins/2/status with {"account_status":1},200 - {success:true message:'Account activated'}. account_status=1 in DB.,
TC_P3_060,3,MI-6,Admins API,Positive,PATCH,/api/admins/:id/status,Suspended admin cannot log in,Admin suspended (account_status=0),POST /api/auth/login with suspended admin credentials,403 - Account suspended error.,
TC_P3_061,3,MI-6,Admins API,Negative,PATCH,/api/admins/:id/status,Invalid account_status value,Super is logged in,PATCH /api/admins/2/status with {"account_status":5},400 - Validation error: account_status must be 0 or 1.,
TC_P3_062,3,MI-6,Admins API,Negative,PATCH,/api/admins/:id/status,Staff cannot change account status,Staff is logged in,PATCH /api/admins/2/status with {"account_status":0},403 - Insufficient permissions.,
TC_P3_063,3,MI-9,Frontend - Login,Positive,UI,LoginPage.jsx,Submit valid credentials,Backend is running,Enter valid email + password and click Login,Redirected to / (Dashboard). No error message visible.,
TC_P3_064,3,MI-9,Frontend - Login,Negative,UI,LoginPage.jsx,Submit form with empty email,None,Leave email blank and click Login,Form validation error shown: 'Email is required'. No API call made.,
TC_P3_065,3,MI-9,Frontend - Login,Negative,UI,LoginPage.jsx,Submit form with invalid email format,None,Enter 'notanemail' in email field and click Login,Form validation error: 'Enter a valid email address'. No API call made.,
TC_P3_066,3,MI-9,Frontend - Login,Negative,UI,LoginPage.jsx,Submit form with empty password,None,Enter valid email but leave password blank and click Login,Form validation error: 'Password is required'. No API call made.,
TC_P3_067,3,MI-9,Frontend - Login,Negative,UI,LoginPage.jsx,Invalid credentials shows error message,Backend running,Enter wrong email/password combination and submit,Error message displayed: 'Invalid credentials'. User stays on login page.,
TC_P3_068,3,MI-9,Frontend - Login,Negative,UI,LoginPage.jsx,Suspended account shows appropriate error,Backend running + suspended admin,Enter suspended admin credentials and submit,Error message displayed indicating account is suspended.,
TC_P3_069,3,MI-9,Frontend - Login,Positive,UI,LoginPage.jsx,Loading state shown during login API call,Backend running,Submit valid credentials,Login button shows spinner/loading state while API call is in progress.,
TC_P3_070,3,MI-9,Frontend - Login,Positive,UI,LoginPage.jsx,Already-logged-in user visiting /login is redirected,User is authenticated,Navigate to /login while logged in,Immediately redirected to / (Dashboard).,
TC_P3_071,3,MI-9,Frontend - Auth,Positive,UI,AuthContext.jsx,user state is populated after login,None,Log in with valid credentials,AuthContext.user is set with {id first_name last_name email role}.,
TC_P3_072,3,MI-9,Frontend - Auth,Positive,UI,AuthContext.jsx,user state is cleared after logout,User is logged in,Click logout button,AuthContext.user becomes null. accessToken is cleared from memory.,
TC_P3_073,3,MI-9,Frontend - Auth,Negative,UI,AuthContext.jsx,accessToken is NOT stored in localStorage,User logs in,Open browser DevTools > Application > Local Storage after login,localStorage contains no accessToken (it is in-memory only for security).,
TC_P3_074,3,MI-9,Frontend - Auth,Positive,UI,App.jsx - Silent Refresh,Session restored after page reload with valid cookie,User is logged in,Reload the browser page (F5),App attempts POST /api/auth/refresh on load. Session is restored. User stays logged in without seeing login page.,
TC_P3_075,3,MI-9,Frontend - Auth,Negative,UI,App.jsx - Silent Refresh,Login shown when no refresh cookie exists,No session / cookies cleared,Open app fresh with no cookies,App attempts refresh. Fails. User is shown login page.,
TC_P3_076,3,MI-9,Frontend - Auth,Positive,UI,App.jsx - Silent Refresh,Loading state shown during silent refresh check,None,Observe app load,Full-page loading indicator shown while silent refresh is attempted. Prevents redirect flash.,
TC_P3_077,3,MI-9,Frontend - ProtectedRoute,Negative,UI,ProtectedRoute.jsx,Unauthenticated user accessing / (Dashboard) is redirected,No session,Navigate to / without being logged in,Redirected to /login.,
TC_P3_078,3,MI-9,Frontend - ProtectedRoute,Negative,UI,ProtectedRoute.jsx,Unauthenticated user accessing /items is redirected,No session,Navigate to /items without being logged in,Redirected to /login.,
TC_P3_079,3,MI-9,Frontend - ProtectedRoute,Positive,UI,ProtectedRoute.jsx,Authenticated user can access / (Dashboard),User is logged in,Navigate to /,Dashboard page renders correctly.,
TC_P3_080,3,MI-9,Frontend - ProtectedRoute,Negative,UI,ProtectedRoute.jsx - role guard,Staff role cannot access /items (Super-only route),Staff user is logged in,Navigate to /items,Redirected away or 403 UI shown (route requires Super role).,
TC_P3_081,3,MI-9,Frontend - ProtectedRoute,Positive,UI,ProtectedRoute.jsx - role guard,Super role can access /items,Super admin is logged in,Navigate to /items,Items page renders correctly.,
TC_P3_082,3,MI-9,Frontend - Axios,Positive,UI,axiosInstance.js - Request Interceptor,Every API request includes Authorization header,User is logged in,Trigger any API call (e.g. load items),Network request in DevTools shows Authorization: Bearer <token> header on all requests.,
TC_P3_083,3,MI-9,Frontend - Axios,Positive,UI,axiosInstance.js - Response Interceptor,401 response triggers silent token refresh + retry,User is logged in with expired access token but valid refresh cookie,Access token expires then any API call is made,Interceptor calls /api/auth/refresh automatically. Original request retried with new token. User sees no disruption.,
TC_P3_084,3,MI-9,Frontend - Axios,Negative,UI,axiosInstance.js - Response Interceptor,Refresh failure on 401 redirects to /login,Access token expired AND refresh cookie expired,Any API call is made,Interceptor calls /api/auth/refresh. Fails. User is redirected to /login. Auth state is cleared.,
TC_P3_085,3,MI-9,Frontend - Layout,Positive,UI,Navbar.jsx,Logged-in user's name is displayed in navbar,User is logged in,View any protected page,Navbar shows current user's display name.,
TC_P3_086,3,MI-9,Frontend - Layout,Positive,UI,Navbar.jsx,Logout button in navbar works,User is logged in,Click Logout in navbar,POST /api/auth/logout is called. User redirected to /login. Auth state cleared.,
TC_P3_087,3,MI-9,Frontend - Layout,Positive,UI,Navbar.jsx - Role-based nav,Staff role does not see Super-only nav links,Staff is logged in,View navbar,Links to /items /admins /reports /audit /eventlog are hidden for Staff role.,
TC_P3_088,3,MI-9,Frontend - Layout,Positive,UI,Navbar.jsx - Role-based nav,Super role sees all nav links,Super is logged in,View navbar,All navigation links visible including /items /admins /reports /audit /eventlog.,
